</s>
是_v	并非_v
永川区_ns	合川区_ns
探月_v	嫦娥_v
寄宿生_n	学杂费_n 助学金_n 补助_n 生活费_n 伙食费_n 家庭_n 住宿费_n
管理系_n	中文系_n 社会学系_n 学院_n 工程学院_n 法学院_n 客座教授_n 经济系_n 数学系_n
转租_v	转借_v 承租_v 出租_v
板桥_ns	江夏_ns 涵江区_ns 龙岗_ns 鼓楼_ns 城东_ns
冲断_v	冲刷_v 塌方_v 淹没_v 抢通_v 冲垮_v 冲毁_v
联考_v	会考_v 统招_v 录取_v 统考_v
尧都区_ns	太榆路_ns 尧庙_ns 临汾市_ns 长春市_ns 西安市_ns 双流县_ns
万科_n
望城区_ns	长沙县_ns 浏阳市_ns
拉德万斯卡_np	舍夫多娃_np 伊万诺维奇_np 扬科维奇_np 罗迪克_np 科维托娃_np 埃拉尼_np Ａ－拉德万斯卡_np
百视通_nz	网游_nz
发展区_n	核心区_n 发展带_n 产业区_n 生态区_n 功能区_n 物流园区_n 先导区_n 新城_n
露行_v	鞘_v 行响_v
缕馆_n	缝馆_n 嫀_n 肴撵馆_n 踌颊_n 馄鸭_n 骇骸馆_n
宗_np	岳_np 孙_np 郭_np 章_np 汪_np 付_np
孙斌_np	刘林_np 张萍_np
售水机_n	抽油烟机_n 水龙头_n 净水器_n 水机_n 饮水机_n
布尔加斯_ns	白沙瓦_ns 卡拉奇_ns 俾路支省_ns 奎达_ns 保加利亚布尔加斯_ns
巴丹吉林沙漠_ns	四子王旗_ns 阿拉善盟_ns 酒泉_ns
轴线_n	核心区_n 轴_n 中轴线_n 滨河_n 景观带_n 生态区_n 台地_n 中轴_n 景观_n
掩人耳目_id
嚷嚷_v	害怕_v 没事_v 劝_v 生气_v 数落_v 埋怨_v
内因_n	诱因_n 外因_n 变量_n
欧洲人_n	境况_n 哲学家_n 英国人_n 小国_n
瓮城_ns	东城门_ns
特快_a	Ｋ_a 普速_a
轻声_n	衣角_n 眼泪_n
脱困_v	脱险_v 救起_v 落水_v 救_v 施救_v 困_v 获救_v 营救_v
摇钱树_n	神仙_n 秘宝_n 聚宝盆_n
白骨_n	千古_n
题词_n	诞辰_n 选集_n
白雪_n
普罗米修斯_np
浸透_v	抹_v 洒_v 擦拭_v 打湿_v 发梢_v 沾满_v 浸湿_v
仔猪_n	肉鸡_n 蔬菜_n 饲料_n 禽类_n 蛋鸡_n
毫无关系_id
麦克哈尔_np	西里奇_np 文奇_np 利斯基_np 特松加_np 杜波伊斯_np Ａ－拉德万斯卡_np
形制_n	砖雕_n 墓道_n 墓葬_n 墓群_n 壁画_n 墓室_n
豪言壮语_id	默默无闻_id 无怨无悔_id
罗梅达尔_np	德利_np 梅克斯_np 鲍尔森_np 埃里克森_np 阿格_np 齐姆林_np
审问_v	供认_v
冲淡_v	过量_v 发胖_v
论点_n	真理_n 辩证法_n 提法_n 论据_n
韩语_nz	法语_nz 中文_nz 粤语_nz 阿拉伯语_nz 英文_nz 德语_nz 日语_nz 俄语_nz 汉语_nz 西班牙语_nz 葡萄牙语_nz 英语_nz
南岗区_ns	香坊区_ns 天桥区_ns 道外区_ns 道里区_ns
就范_v	得逞_v 报复_v 企图_v 试图_v 反抗_v
远行_v	漂泊_v
皮拉尔_np	巴罗什_np 吉拉切克_np 卡德莱茨_np
包包_v	装扮_v
潘功胜_np	金勇_np 李礼辉_np 胡晓炼_np 杨明生_np 周小川_np 庄永辉_np 刘士余_np
壹_v
空车_n	公交车_n 客点_n 的士_n
赵作海_np	李怀亮_np
为官者_n	美丑_n 私德_n 操守_n 学识_n 是非_n 品行_n
插图_n	插画_n 画集_n 画_n 诗集_n 作品_n 书名_n 作品集_n 漫画_n
供称_v	传唤_v
转轨_v	改革_v 转型_v 僵化_v 变革_v
冰棍_n	雪糕_n 馄饨_n 凉面_n
率真_a	倔强_a 温柔_a 刚强_a 高傲_a 洒脱_a
蒜商_n	新蒜_n 油厂_n 菜价_n 蒜头_n 蒜_n 蒜价_n 蛋商_n 批发价_n 肉价_n 蛋价_n
污物_n	碎屑_n 粉尘_n 油污_n 异味_n 臭气_n 污垢_n 灰尘_n
雪崩_n	洪灾_n
濮阳县_ns	汤阴县_ns 孟津县_ns 辉县市_ns 原阳县_ns
莫_np	孙_np 陈_np 黄_np 沈_np 姜_np 蔡_np 梁_np 杨_np
风云人物_id	崭露头角_id
美轮美奂_id	流光溢彩_id 绚丽多彩_id 浑然天成_id 惟妙惟肖_id 别具一格_id
低保_a
问津_v	居多_v 应季_v
高架_v	绕行_v 立交_v
深部_n	油气田_n 深海_n 海岸带_n
清凉油_n	正气水_n 绿豆汤_n 毛巾_n 风油精_n 凉水_n 气水_n
稀饭_n	米饭_n 咸菜_n 小米粥_n 素菜_n 粥_n
评查_v	讲评_v 受案_v 息诉_v 合议_v 办结_v
淡水湖_n	流域_n 闸蟹_n 河流_n 水系_n 江河_n 洞庭湖_n 湖泊_n
蛋类_n	豆类_n 鸡肉_n 菠菜_n 奶类_n 肉类_n 谷物_n 瓜类_n 薯类_n 鸡蛋_n
文华_nz	兰亭_nz
雷佳_np	王宏伟_np 吕薇_np 阎维文_np 陈思思_np
绿油油_a	青翠_a 翠绿_a 嫩绿_a
傣族_nz	哈萨克_nz 白族_nz 土家_nz 佤族_nz 壮族_nz 布依族_nz 藏族_nz 苗族_nz 维吾尔_nz 彝族_nz 侗族_nz 蒙古族_nz 哈萨克族_nz 黎族_nz
刘军红_np
林书豪_n	尼克斯_n 火箭队_n 书豪_n
等级分_n	排位_n 总成绩_n 排名榜_n 名次_n
放榜_v	考出_v 发榜_v 高考_v 中考_v 联招_v 落榜_v 考_v
叉车_n	拖拉机_n 平板车_n 模具_n 手扶拖拉机_n 氧气瓶_n 翻斗车_n 车床_n 钢管_n 修理工_n
淄川_ns	周村_ns 岱岳区_ns 曹县_ns 奎文_ns 邹城市_ns 博山_ns 潍城_ns 岚山_ns 张店_ns 薛城_ns 槐荫_ns 昌邑_ns
赣行_v
南共市_ns
半月礁_n	美济礁_n 渔政_n 永暑礁_n 编队_n 渚碧礁_n 海域_n
程骜_np	冷永成_np
张嘴_v	嘟_v 摸摸_v
勤政_n	政德_n 学风_n 党性_n 作风_n
表面文章_id	沽名钓誉_id 防微杜渐_id
文图_n	实习生_n
付诸_v	行动_v
综述_n	Ｍｉｎｉ_n 真机_n ３ＧＳ_n
虚名_n
行云流水_id
荒野_n	冰河_n 丛林_n 沼泽_n 洞穴_n
长途车_n	汽车站_n 公交车_n 出站口_n 火车_n 长途汽车站_n 的士_n 班车_n 空车_n
雷克萨斯_np	奥迪_np 英菲尼迪_np 凯迪拉克_np
三角恋_n	虐心_n 剧中_n
美腿_n	帅气_n 性感_n 身材_n
刹住_v	刹_v 杜绝_v
边坡_n	护坡_n 堆积物_n 土质_n 泥石_n 桥涵_n 挡墙_n 堰塞湖_n 坡面_n
玩命_v	打打_v 仗_v 拼命_v
高毒_n	农药_n 着色剂_n 除草剂_n 用量_n 使用量_n 兽药_n 甲胺_n
出货_v	降价_v 到货_v 供货_v 库存_v 销售_v
石器_n	铜器_n 出土文物_n 陶器_n 遗迹_n 古墓_n 器物_n 青铜_n 青铜器_n
梁金雄_np	郭爽_np 王子江_np 张寒_np 徐征_np 孙海光_np 岳东兴_np 马邦杰_np
堵漏_v	破拆_v
大饼_n	肉馅_n 肉_n 油饼_n 肥肉_n 饼_n
柳岩_n	小生_n 主演_n
互帮互助_id	携起手来_id 扶危济困_id 同心协力_id
年审_v	办理_v 审验_v 核发_v 注销_v
劫持者_n	警员_n 男子_n 警棍_n 劫匪_n 歹徒_n 行凶者_n 匪徒_n 目击者_n
黄鹤楼_ns	鸡公山_ns
得病_v	患病_v 患_v 打针_v 生病_v
夙愿_n	心愿_n 梦想_n
涟漪_n	倒影_n 浪花_n 水波_n
黄海涛_np	李德云_np
租价_n	油运_n 出租车_n 起步价_n 燃油费_n 成品油_n 乘距_n 燃油_n 步价_n 气价_n 附加费_n 运价_n 次燃油_n 涨_n
树皮_n	杨树_n 根部_n 树根_n 藤蔓_n 枝叶_n 枝干_n 杂草_n 枝条_n 树干_n 柳树_n
运管处_n	交通局_n 客管处_n 市政局_n 运管局_n 规划局_n 运管所_n 交通运输局_n
深成_v	收盘_v 收报_v 指跌_v 收涨_v 报收_v 收於_v 指报_v
哎_v	呵呵_v 笑_v 忍不住_v 好像_v 没事_v
王祖贤_np	徐若瑄_np 林志玲_np 孙燕姿_np
救活_v	诀别_v 救_v 丧命_v
密室_n	仙人_n
风暴潮_n	警报_n 台风_n 强风_n
议价_v	放贷_v 揽存_v 风控_v 盈利_v
张惠妹_np	梁咏琪_np 莫文蔚_np 辛晓琪_np 林宥嘉_np 林俊杰_np 齐秦_np 梁静茹_np 陈奕迅_np 萧敬腾_np 张靓颖_np
红头文件_n	罚则_n 许可法_n 规范性_n 文件_n 条文_n 权限_n 上位法_n 规章_n 总则_n
转危为安_id
欧阳坚_np	黄晓炎_np 张宝顺_np 苏荣_np 梅克保_np 杨岳_np 陈辞_np 陈敏尔_np 李春城_np 袁纯清_np
双龙_nz	金桥_nz
肉价_n	菜价_n 蒜价_n 价格_n 批发价_n 新蒜_n 蛋价_n
张兰_np	朱玲玲_np 王伟忠_np
张璐_np	阮晓光_np 高羽_np
资源税_n	关税_n 流转税_n 起征点_n 营业税_n 房产税_n 税费_n
公租_n	租赁点_n 体育场馆_n
祖祖辈辈_id	世世代代_id 靠山吃山_id
射箭队_n	花剑_n 体操_n 曲棍球队_n 蹦床_n 冲金点_n 气手枪_n 射箭_n
观摩会_n	表彰会_n 座谈会_n 调度会_n 汇报会_n 现场会_n 专题会_n 动员会_n 推进会_n 培训会_n
胡安_np	桑切斯_np 克莱门特_np 格伦_np 亨利_np 罗德里格斯_np 托马斯_np 马尔科_np 拉尔斯_np 罗纳尔迪尼奥_np
刘天才_np	刘海燕_np 刘旺_np 王珍玲_np 刘洋_np 海鹏_np 刘士林_np 牛喜云_np
周斌_np	徐艳_np 马明_np 陶海音_np 赵波_np
屋面_n	楼体_n 墙面_n 墙体_n
国际级_a	顶尖_a 世界级_a 顶级_a
遥测_v	传输_v 传送_v 备份_v 传回_v 测控_v 可视化_v
吊环_n	自由操_n 跳马_n 单杠_n 高低杠_n 双杠_n 平衡木_n
提告_v	报导_v 指称_v 控告_v
基惠民_np	强基惠民_np
袋装_a	散装_a
平凉市_ns	龙山县_ns 正宁县_ns 定西市_ns 甘肃省_ns 陇南市_ns 敦煌市_ns 武威市_ns 庆阳市_ns 吕梁市_ns
侯逸凡_np
街机_n	格斗_n 次世代_n 回合制游戏_n 网页游戏_n 天境_n 网游_n 可玩性_n 游戏_n 打击感_n
耒阳_ns
施耐德_np	孙明波_np 郭台铭_np 金志国_np ＣＥＯ_np 王传福_np 俞永福_np 阎焱_np 俞敏洪_np 吴长江_np
上线率_n	理工类_n 理科_n 计划数_n 录取率_n 校线_n 档线_n 投档线_n 文科_n 文史类_n 本科线_n 最高分_n 重点线_n 理科生_n 平均分_n 文理科_n
古寺_n	方丈_n
荒_v	耕种_v 种地_v 种_v
眼镜店_n	卖场_n 药房_n 专卖店_n 专柜_n 大药房_n 门店_n 品牌店_n 商场_n
点球点_n	单刀_n 球门_n
震耳欲聋_id	此起彼伏_id
松口_v	翻脸_v
紧身_a
低价位_n	价格会_n 低价格_n 价格_n 单价_n 价位_n 中端_n
车架_n	钢板_n 尾翼_n 轮胎_n 底盘_n 车体_n 车身_n 铝合金_n 铝制_n
平山_ns	龙泉_ns 正定_ns
旧爱_n	胡杏儿_n 恋情_n 容祖儿_n 韵诗_n
牵强_a	愚蠢_a
永州市_ns	龙山县_ns 临武县_ns 桂阳县_ns 常德市_ns 郴州市_ns 泸溪县_ns
泄愤_v	强暴_v 毒打_v 殴打_v
韩雨芹_np	阚清子_np 王志文_np 殷桃_np 叶倩云_np
韩日_t
眼尖_n
荆棘_n	小路_n 石阶_n
游子_n	慈母_n 故土_n 故乡_n 乡音_n
芦荟_n	美白_n 花青素_n 纤维_n 草本_n 蜂蜜_n 柠檬_n 成分_n 葡萄籽_n
新版_n	仙剑_n 版本_n 伏魔者_n 国服_n
土石方_n	挡土墙_n 路基_n 基坑_n 箱涵_n 隧洞_n 摊铺_n 桥涵_n 围堰_n 桩基_n
巴里_ns	比利亚_ns
瓦良格_nz	尼米兹_nz 尤里_nz 什瓦利克_nz 汉诺克_nz 多尔戈鲁基_nz 菲利琴科夫_nz 尼古拉_nz
连线_n	视频_n
极点_n
圆_n	彩云_n 繁星_n
问询者_n	时报网站_n 报网站_n 星报_n
经度_n	纬度_n 地震_n 震中_n 里氏_n 震级_n 震源_n 余震_n
丁春诚_np	张俪_np 刘力扬_np 林依晨_np
彩礼_n	嫁妆_n 赡养费_n
摇摇欲坠_id	东倒西歪_id
减震_v	电控_v
泥塑_n	木雕_n 面塑_n 根雕_n 剪纸_n 唐卡_n 陶艺_n 雕刻_n 年画_n 玉雕_n 绘画_n 桑皮纸_n
裁剪_v	镂空_v 剪裁_v 印花_v 拼接_v 绣花_v
引路_v	培树_v 示范_v 带头_v 引领_v 创争_v
痛哭流涕_id	痛不欲生_id 泪流满面_id 泣不成声_id 伤心欲绝_id
竞购_v	受让_v 竞标_v 作价_v 转让_v 分拆_v 竞得_v
雨花台区_ns	秦淮区_ns 江宁区_ns 下关区_ns 白下区_ns 建邺区_ns 玄武区_ns 浦口区_ns 市北区_ns
地对空_a	短程_a 中程_a
毛毛_np	文文_np
嬉水_v	畅游_v 嬉戏_v 漂流_v 戏水_v 游玩_v
胃镜_n	内窥镜_n 彩超_n 病理_n 除术_n 宫腔镜_n 肠镜_n 核磁共振_n 超声_n 胸腔镜_n
１ＧＢ_nz	４ＧＢ_nz ２ＧＢ_nz Ｉｎｔｅｌ_nz ８ＧＢ_nz ＧＨｚ_nz
魅族_n	酷派_n 强机_n 机皇_n 款手机_n Ｘ_n 核手机_n
结肠癌_n	肝癌_n 卵巢癌_n 乳腺癌_n 肺癌_n 乳癌_n 食道癌_n 直肠癌_n 前列腺癌_n 食管癌_n 胃癌_n 肠癌_n 口腔癌_n
黄亮_np	魏如松_np 林霞虹_np 徐艳_np 陈志强_np 董哲_np 刘勇_np 赵磊_np
白马_n	花田_n 骏马_n
全旗_n	行政村_n 试点村_n 村屯_n 全镇_n 先进村_n 重点村_n 全县_n 全乡_n 嘎查_n
时刻表_n	列车_n 车次_n 卧铺票_n 动车组_n 动车_n
下凹式_a	下沉式_a 沉式_a
榜_v	领涨_v 涨停_v 领跌_v 涨逾_v 收红_v
锦江_ns	泰山路_ns 东湖_ns 滇池路_ns
黄鳝_n	猪肝_n 香菇_n 芹菜_n 南瓜_n 黄瓜_n
李建民_np	冷永成_np 郭云峰_np 王群_np 高大辉_np 刘杰_np 翟瑞生_np
颊饯馆_n
焦煤_nz	潞安_nz 创业_nz 中粮_nz 兴发_nz 沙钢_nz
基督_nz	基督教_nz
朝阳门_ns	东四_ns 万寿路_ns 北大街_ns 东口_ns 青年路_ns
恩情_n	孝心_n 晚辈_n 心愿_n 儿女_n
距离_v	穿过_v 距_v 相距_v 行进_v 靠近_v 停靠_v
卡希尔_np	边锋_np 兰帕德_np
集结号_n	狼烟_n 号角_n 热潮_n
常务委员_n	中央委员_n 委员_n 主席_n 委员长_n 主任委员_n
广为人知_id
马蹄_n	红萝卜_n 荠菜_n 藕_n 竹叶_n 荷叶_n 菜花_n 菊花_n
昂扬_v	拼搏_v 奋进_v 振奋_v 奋发_v
退路_n
冷艳_a	甜美_a 俏丽_a 妩媚_a 娇媚_a 清丽_a 娇俏_a 清纯_a 美艳_a 温婉_a
耶鲁_ns	宾夕法尼亚_ns 哈佛_ns 牛津_ns 普林斯顿_ns
傻事_n	老婆_n 错事_n
毛绒_n	玩偶_n 纽扣_n 台灯_n 绸缎_n 头饰_n
吟_v	吟唱_v 吟诵_v 咏_v
割断_v	剪断_v 割伤_v 卡住_v 划伤_v
非金属_n	金属_n 铁合金_n 钛_n 橡胶_n 化纤_n 冶金_n
国海_nz	中信_nz 东兴_nz 安信_nz 国元_nz 日信_nz 湘财_nz 财通_nz 建投_nz 国信_nz 国都_nz 国泰君安_nz 宏源_nz
企业化_v	运作_v 资本化_v 属地化_v 集中化_v 项目化_v 公司化_v 集团化_v 专业化_v 精细化_v
脚法_n	射术_n 边路_n 盘带_n 跑位_n
防撞_v	侧滑_v
柯有伦_np	阚清子_np 刘德凯_np 李斯丹妮_np 林雪_np
鱼雷_n	导弹_n 母舰_n 弹头_n 地空导弹_n 潜艇_n 火炮_n
巍峨_a	幽深_a 巍巍_a 参天_a 苍茫_a 雄伟_a 苍翠_a 壮美_a 雄奇_a
任课_v	备课_v 批改_v 分班_v
重聚_v
排档_v	烧烤_v
雄鹰_n	蝴蝶_n 繁星_n 巨龙_n 蔚蓝色_n
张路_np	刘建宏_np 申方剑_np 宫磊_np 贺炜_np 苏东_np 刘嘉远_np 徐阳_np 陶伟_np 段暄_np 李彦_np 张恩华_np 黄健翔_np
酒泉市_ns	慈利县_ns 武威市_ns 定西市_ns 白银市_ns 天祝县_ns
票子_n	钱_n
日积月累_id	长年累月_id
高端_np
撇清_v	澄清_v
阿诺_np	侯孝贤_np 陈可辛_np
郭明义_np
皮肤癌_n	炎症_n 全身性_n 呼吸道_n 癌症_n 乳癌_n 癌变_n 前列腺癌_n 肥胖症_n
可期_a	明朗_a
宇通_nz	亚星_nz 依维柯_nz 安凯_nz 比亚迪_nz 福田_nz 江铃_nz 中通_nz
平度_ns	城阳_ns 即墨_ns 莱西_ns 莱阳_ns 安丘_ns 胶州_ns 胶南_ns
外教_v
李松_np	王剑_np
复明_v
扭亏_v	预亏_v 预降_v 报忧_v 亏损_v 预减_v 预增_v 中报_v 预喜_v
管养_v	补植_v 养护_v
影视界_n	体育界_n 演艺界_n
税收入_n	流转税_n 税收收入_n 收入_n 个人所得税_n
鲍勃_np	克里斯_np 理查德_np Ｍｉｋｅ_np 安德鲁_np 斯蒂芬_np Ｐｅｔｅｒ_np 马克_np 史蒂芬_np
周伟_np
稀疏_a	枯黄_a 灰白_a 乌黑_a
约翰尼_np	凡妮莎_np 汤姆－克鲁斯_np 伊娃_np
超常规_a	跨越式_a
茶社_n
傅海峰_np	蔡赟_np 陈金_np 柴飚_np
阿罗约_np	霍尔德_np 扎尔达里_np
大乐_n	超级大乐_n 奖池_n 彩友_n 彩民_n 注头奖_n 巨奖_n 头奖_n 双色球_n
指南者_n	ＣＲ－Ｖ_n 神行者_n
满_np	聂_np 赵_np 何_np
盱眙_v
胆道_n	头颈部_n 大血管_n 泌尿系_n 胰腺_n 食管_n 血管性_n 肿瘤_n
蔚县_ns	泥河湾_ns 敦煌_ns
石斛_n	灵芝_n 新品种_n 红豆杉_n 板栗_n 桔梗_n 核桃_n 药材_n 天麻_n 中药材_n
海巡_n	舰艇_n 渔政_n 保安厅_n 巡逻船_n 海巡署_n 渔船_n 巡逻艇_n 船只_n
麦齐光_np	张建宗_np 林郑月娥_np 吴克俭_np 苏锦梁_np 高永文_np 黄锦星_np 张炳良_np 陈家强_np
低息_n	贷款_n 信贷_n 小额_n 额度_n 贷款人_n 贴息_n 余额_n
低效_n	废弃地_n 高能耗_n 产能_n
国防军_n	准将_n 国民军_n 国防部长_n 中情局_n 指挥官_n 军方_n
诗集_n	诗_n 画集_n 书名_n 散文_n 文集_n 散文集_n 诗词_n
姨_n	外孙_n 姑姑_n 儿子_n 老头子_n 弟弟_n
阵脚_n
静安区_ns	嘉定区_ns 宝山区_ns 奉贤区_ns 长宁区_ns 杨浦区_ns 徐汇区_ns 黄浦区_ns 青浦区_ns 静安_ns 虹口区_ns 闸北区_ns
撬动_v	拉动_v 借力_v 抢占_v
柠檬酸_n	草酸_n 香料_n 纤维素_n 淀粉_n
香河_ns
招飞_v	招收_v 报考_v 联招_v 定选_v 录取_v 征平_v
哈里_np	卡米拉_np 凯特_np 戴安娜_np 威廉_np 查尔斯_np 王妃_np 费利佩_np
常青树_n	乐坛_n 歌坛_n
方程式_n	物理_n 赛车_n
Ａ_n	汇理_n 货币Ｂ_n Ｂ_n
到校_v	返校_v 放学_v 自习_v 上课_v
详解_v	揭秘_v 解密_v 解析_v
新泽西_ns	迈阿密_ns 佛罗里达_ns 堪萨斯_ns 费城_ns 印第安纳_ns 克利夫兰_ns 波士顿_ns 洛杉矶_ns 犹他_ns 西雅图_ns
李安_np
产子_n	三胞胎_n
李玟_np	陈奕迅_np 蔡康永_np 阿朵_np 曹格_np
富农_v	调控_v 扶持_v 惠农_v 动摇_v 支农_v 出台_v
增长期_n	增势_n 发展期_n 爆发式_n 调整期_n 中速_n
前额_n	头发_n 肚脐_n 眼窝_n 颈部_n 额头_n 脸部_n 腹部_n 指甲_n 面部_n 胸部_n 全身_n 臀部_n
白斑_n	痔疮_n 肿物_n 荨麻疹_n 角膜炎_n 湿疹_n
东风悦达起亚_nz	华晨_nz 长安福特_nz 雷诺_nz 沃尔沃_nz 本田_nz 日产_nz 英菲尼迪_nz 大众_nz 斯柯达_nz 宝骏_nz
布拉德_np	海瑟薇_np 劳伦斯_np 安德鲁_np 罗伯特_np 格兰特_np
午宴_n	晚宴_n 宴会_n
胡灵_np	韩庚_np 阿朵_np 张靓颖_np
企盼_v	盼望_v 期盼_v 憧憬_v 满怀_v 盼_v 翘首_v
心机_n	御姐_n 皮相_n 英气_n 负心汉_n
常万全_np	牛红光_np
布雷维克_np	马格诺塔_np 霍姆斯_np 林正伟_np
兼容性_n	流畅度_n Ｗｉｎ_n 芯片_n 便携性_n 硬件_n 功耗_n 内置_n
奇瑞_np	雷克萨斯_np 吉利_np 比亚迪_np
微幅_n	早盘_n 尾盘_n 综指_n 小幅_n
吃透_v	善于_v 把握_v 善於_v
全村人_n	村里人_n
中超_nz	鲁能_nz 亚冠_nz 中甲_nz
辉映_v	点缀_v 映衬_v 生辉_v
毛细血管_n	毛囊_n 血管壁_n 粘膜_n 毛孔_n 汗腺_n 晶状体_n 斑块_n 血管_n 血流量_n 鼻腔_n 血流_n
先发制人_id
胸脯_n
赵伟_np	刘云_np 张凯_np 梁超_np
巴曙松_np	刘利刚_np 倪鹏飞_np 赵庆明_np 李稻葵_np 鄂永健_np 曹文炼_np 郭田勇_np 张茉楠_np 夏斌_np 奚君羊_np 梅新育_np
出题_v	试题_v 批改_v 命题_v 考题_v 审题_v
准将_n	国防军_n 军官_n 陆军_n 空军_n 上校_n 司令部_n 司令_n 指挥官_n 军方_n
哀叹_v	明白_v 嘲笑_v
废铁_n	废铁价_n 废品_n 报废车_n
王飞_np	张冬梅_np 徐艳_np 习生_np 王亚男_np
小声_v	听_v 摆手_v 忍不住_v
起死回生_id
文加达_ns
强强联合_id	强强联手_id
权力观_n	政绩观_n 价值观_n 人生观_n 世界观_n 事业观_n 利益观_n 道德观_n
主治_v	辨证_v
歌诗_n
烽烟_n	战火_n 黄巾_n 乱世_n 诸侯_n 硝烟_n
人声鼎沸_id	热闹非凡_id 车水马龙_id 游人如织_id 摩肩接踵_id 熙熙攘攘_id 人头攒动_id
母港_n	客滚船_n 海港_n 包机_n 航次_n 游轮_n 邮轮_n 航线_n 客轮_n
谢师宴_np
帕帕多普洛斯_np	莫塔_np 托罗西迪斯_np 卡楚拉尼斯_np 耶拉维奇_np 基耶利尼_np
漆面_n	保护层_n 保护膜_n 车漆_n 气孔_n 海绵_n
开平_v
开山_v	修筑_v 采石_v
吊顶_n	外墙_n 墙面_n 墙壁_n 地砖_n 抽油烟机_n 地板_n 瓷砖_n 门窗_n
花式_n	街舞_n 群舞_n 秧歌_n 腰鼓_n
太阳伞_n	雨衣_n 遮阳伞_n 被褥_n 蚊帐_n 手提袋_n
峰会_v	会晤_v
甘孜州_ns	甘孜_ns 拜城县_ns 凉山州_ns 江安县_ns 阿坝州_ns 攀枝花市_ns 毕节市_ns
积木_n	书房_n 基座_n 壁炉_n 幕布_n 长方形_n 涂鸦_n
泄流量_n	干流_n 水流量_n 洪峰_n 库容_n 水库_n 大坝_n
林荫_n	花园_n 观景_n 景观带_n 彩虹桥_n 滨河_n 江景_n 水岸_n 绿道_n 步行道_n 滨水_n
高分_n	分数_n 志愿组_n 分_n 考分_n 资格线_n 平均分_n
豪华型_a	舒适型_a 标准型_a 尊贵型_a
净空_n	建筑物_n 机场_n 航站楼_n Ｔ３航站楼_n 飞行区_n 停机坪_n 跑道_n 隔离区_n
文某_np	梁某_np 李某_np 宋某_np 陈某_np 胡某_np 王某_np 唐某_np 赵某_np 刘某_np 郭某_np 张某_np 何某_np 罗某_np
国美_nz	海信_nz 五星_nz 美的_nz 长虹_nz 格力_nz
周云_np
修仙_n	仙侠_n 仙魔_n 天境_n 圣堂_n 仙界_n 回合制_n 仙纪_n
派员_n	警区_n 督导组_n 专班_n 巡查组_n 重案组_n
勤俭_a	节俭_a
票证_n	发票_n 出版物_n 凭证_n 单据_n 印章_n
出息_n	爹妈_n 主见_n
贫乏_a
李磊_np	刘健_np 于涛_np 张翀_np 陈涛_np 王栋_np 李文博_np 王赟_np 朱建荣_np 刘成_np 刘卫东_np 王林_np
坠物_n	惨剧_n
走秀_v
焦点战_n	收官战_n 小组赛_n
质证_v	再审_v 审_v 控辩_v 庭审_v 采信_v
空缺_n
木乃伊_np	盖拉尔迪尼_np 格拉迪尼_np 蒙娜丽莎_np
蕴涵_v	蕴含_v
选房_v	认筹_v 排号_v 购房_v
接演_v	出演_v 接拍_v
汾酒_n	鬼酒_n
改嫁_v	抚养_v
情意_n	深情_n 情谊_n 爱意_n 情_n 真情_n
桃姐_n	影片_n 新片_n 导演_n
杭州湾_ns	胶州湾_ns 沙湖_ns 渤海湾_ns
误传_v	传言_v
看样子_v	哆嗦_v 吓_v
慢车道_n	辅道_n 停车线_n 护栏_n 隔离护栏_n 隔离墩_n 人行道_n 马路_n 绿化带_n 过街天桥_n 车道_n
赵子琪_np	彭玉_np 殷桃_np 韩雨芹_np 张子萱_np 刘芸_np 林心如_np
浴池_n	房间_n 洗手池_n 厕所_n 卧室_n 浴室_n 厨房_n 卫生间_n 澡堂_n
暴雪_v	腾讯_v 育碧_v
兵营_n	宪兵_n 炮团_n 炮兵_n 射击场_n 骑兵_n
讲明_v	解释_v 告知_v 告诫_v
连绵_a	茂密_a 幽深_a 苍翠_a
党徽_n	大字_n 绶带_n 先锋岗_n 党旗_n 国徽_n
臭豆腐_n	咸鱼_n 鱼丸_n 蚵仔煎_n 馄饨_n
各有千秋_id	与众不同_id
足球界_n	足坛_n 足球圈_n
千军万马_id	惊天战神_id
狗血_v	搞笑_v
微博平台_n	新浪_n 微博群_n 腾讯网_n 网络_n
周身_n	双唇_n 眼尾_n 褶皱_n 沙粒_n
县处级_a	副县级_a 副处级_a 科级_a 厅级_a 正科级_a 副科级_a 副局级_a 局级_a 非领导职务_a 处级_a
张芳_np	李小涵_np 马霞_np 孙亮_np
三水区_ns	武汉市_ns 南昌市_ns 高明区_ns 南海区_ns 广州市_ns 顺德区_ns 成都市_ns 禅城区_ns 佛山市_ns 宁波市_ns 海口市_ns
赫尔辛基_ns	柏林_ns 圣彼得堡_ns 哈瓦那_ns 悉尼_ns 匈牙利_ns 比利时_ns 伦敦_ns 贝尔格莱德_ns
Ｔａｂ_n	Ｘ_n Ｎｅｘｕｓ_n ｅｘｕｓ_n 平板_n
吴忠市_ns	平罗县_ns 固原市_ns 石嘴山市_ns 中卫市_ns 中宁县_ns
团场_n	贫困村_n 全村_n 全镇_n 全县_n 全乡_n 垦区_n
武威市_ns	定西市_ns 天祝县_ns 平凉市_ns 龙山县_ns 甘肃省_ns 陇南市_ns 甘南藏族自治州_ns 临洮县_ns 庆阳市_ns 白银市_ns
